VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,QuantityBin,VolumeCat,PurchaseVolumeCategory
4692,KOBRAND CORPORATION        ,20422,M Chiarlo Barberesco Anni 09,18.06,750.0,27.99,26,469.56,3162.8699999999967,1595.4300000000003,113.0,12.569999999999995,9139.38,2693.3099999999968,85.15398988892998,4.346153846153846,6.735816509072316,18.06,"(16.0, 31.0]",Small,Small
653,STATE WINE & SPIRITS   ,20118,Love Oregon Rsl,10.2,750.0,14.99,46,469.20000000000005,134.91,29.98,9.0,1.01,8014.98,-334.2900000000001,-247.78741383144322,0.1956521739130435,0.2875319693094629,10.200000000000001,"(31.0, 54.0]",Small,Small
2000,SOUTHERN WINE & SPIRITS NE ,19233,Tasca D'Almerita Leone 11,13.01,750.0,18.99,36,468.36,265.86,56.97,14.0,1.57,19016.59,-202.5,-76.16790792146242,0.3888888888888889,0.5676402767102229,13.01,"(31.0, 54.0]",Small,Small
9165,ULTRA BEVERAGE COMPANY LLP ,46765,Tom Eddy Cab Svgn Napa,35.94,750.0,79.99,13,467.21999999999997,274.95,219.96,5.0,0.55,68054.70000000003,-192.26999999999998,-69.9290780141844,0.38461538461538464,0.5884808013355592,35.94,"(8.0, 16.0]",Small,Small
90024,VINILANDIA USA             ,25120,Foxglove Chard,9.73,750.0,14.99,48,467.04,179.88,14.99,12.0,1.35,2802.6400000000003,-287.16,-159.63975983989326,0.25,0.3851490236382322,9.73,"(31.0, 54.0]",Small,Small
4425,MARTIGNETTI COMPANIES,3449,Van Gogh Pomegranate Vodka,22.21,750.0,27.99,21,466.41,27.99,27.99,1.0,0.79,144929.24,-438.42,-1566.3451232583068,0.047619047619047616,0.06001157779635942,22.21,"(16.0, 31.0]",Small,Small
9165,ULTRA BEVERAGE COMPANY LLP ,18265,Gianni Gagliardo Barolo S 07,46.61,750.0,68.99,10,466.1,206.96999999999997,137.98,3.0,0.33,68054.70000000003,-259.13000000000005,-125.20172005604681,0.3,0.44404634198669807,46.61,"(8.0, 16.0]",Small,Small
10754,PERFECTA WINES             ,23763,Ch Marquis de Terme 12 Mrgx,35.8,750.0,52.99,13,465.40000000000003,264.95,211.96,5.0,0.55,28720.52,-200.45000000000005,-75.6557841102095,0.38461538461538464,0.569295229909755,35.800000000000004,"(8.0, 16.0]",Small,Small
1485,CASTLE BRANDS CORP.        ,4052,Goslings Family Rsv Rum,46.42,750.0,64.99,10,464.20000000000005,194.96999999999997,194.96999999999997,3.0,2.37,8497.589999999998,-269.2300000000001,-138.08791096066068,0.3,0.4200129254631623,46.42,"(8.0, 16.0]",Small,Small
9165,ULTRA BEVERAGE COMPANY LLP ,2320,The Tweeddale 12 Yr Old,38.68,750.0,52.99,12,464.16,52.99,52.99,1.0,0.79,68054.70000000003,-411.17,-775.9388563879978,0.08333333333333333,0.11416321957945536,38.68,"(8.0, 16.0]",Small,Small
9165,ULTRA BEVERAGE COMPANY LLP ,787,Cherry Heering Liqueur,17.85,750.0,24.99,26,464.1000000000001,174.95000000000002,139.96,5.0,3.9400000000000004,68054.70000000003,-289.1500000000001,-165.27579308373825,0.19230769230769232,0.37696617108381814,17.85,"(16.0, 31.0]",Small,Small
8004,SAZERAC CO INC             ,3750,Margaritaville Island Lime,11.59,750.0,14.49,40,463.59999999999997,14.49,14.49,1.0,0.79,50293.62000000002,-449.10999999999996,-3099.4478951000688,0.025,0.031255392579810186,11.59,"(31.0, 54.0]",Small,Small
8892,TRINCHERO FAMILY ESTATES   ,14670,Sutter Home Moscato,3.92,187.0,5.99,118,462.5599999999999,143.76,11.98,24.0,0.67,11595.970000000003,-318.7999999999999,-221.75848636616578,0.2033898305084746,0.31079211345555174,3.919999999999999,"(85.0, 144.0]",Small,Small
10754,PERFECTA WINES             ,22928,Desert Wind Ruah Red,12.83,750.0,18.99,36,461.88,120.93999999999998,120.93999999999998,6.0,0.66,28720.52,-340.94,-281.90838432280475,0.16666666666666666,0.2618429029185069,12.83,"(31.0, 54.0]",Small,Small
3252,E & J GALLO WINERY         ,15261,Barefoot Cellars Sweet Red,4.27,187.0,6.49,108,461.16,38.94,6.49,6.0,0.17,61966.909999999996,-422.22,-1084.2835130970725,0.05555555555555555,0.08443924017694508,4.2700000000000005,"(85.0, 144.0]",Small,Small
2000,SOUTHERN WINE & SPIRITS NE ,1253,Tullibardine Burgundy Finish,51.17,750.0,64.99,9,460.53,129.98,129.98,2.0,1.58,19016.59,-330.54999999999995,-254.30835513155867,0.2222222222222222,0.2822400277940634,51.169999999999995,"(8.0, 16.0]",Small,Small
2000,SOUTHERN WINE & SPIRITS NE ,24322,Ch Phelan Segur St-Estphe 12,32.89,750.0,49.99,14,460.46000000000004,249.95,149.97,5.0,0.56,19016.59,-210.51000000000005,-84.22084416883379,0.35714285714285715,0.5428267384789123,32.89,"(8.0, 16.0]",Small,Small
2242,DELICATO VINEYARDS INC     ,19787,Bota Mini RedVolution,3.24,500.0,4.79,142,460.08,23.95,23.95,5.0,0.4,7982.649999999999,-436.13,-1821.0020876826723,0.035211267605633804,0.05205616414536603,3.2399999999999998,"(85.0, 144.0]",Small,Small
9815,WINE GROUP INC             ,15294,Flip Flop Moscato,3.86,750.0,7.99,119,459.34,41.93,23.96,7.0,0.78,27100.409999999996,-417.40999999999997,-995.4924874791319,0.058823529411764705,0.09128314538250534,3.86,"(85.0, 144.0]",Small,Small
9552,M S WALKER INC             ,11529,Benvolio Pnt Grigio Friuli,3.76,750.0,9.99,122,458.71999999999997,2426.0099999999984,636.9,419.0,46.95999999999997,55551.819999999985,1967.2899999999984,81.09158659692251,3.4344262295081966,5.2886510289501185,3.76,"(85.0, 144.0]",Small,Small
9552,M S WALKER INC             ,12519,Salmon Creek Pnt Nr Cal,2.73,750.0,3.99,168,458.64,15.96,7.98,4.0,0.45,55551.819999999985,-442.68,-2773.684210526316,0.023809523809523808,0.0347985347985348,2.73,"(144.0, 222.1]",Small,Small
9552,M S WALKER INC             ,24305,Marquis d Gelida Brut Rsv,11.18,750.0,18.99,41,458.38,492.7100000000001,305.82000000000005,29.0,3.22,55551.819999999985,34.3300000000001,6.967587424651437,0.7073170731707317,1.0748941925913,11.18,"(31.0, 54.0]",Small,Small
4425,MARTIGNETTI COMPANIES,24432,Tintero Langhe Arneis,5.95,750.0,8.99,77,458.15,332.63000000000005,188.79000000000002,37.0,4.1000000000000005,144929.24,-125.51999999999992,-37.735622162763406,0.4805194805194805,0.7260285932554842,5.949999999999999,"(54.0, 85.0]",Small,Small
9552,M S WALKER INC             ,20935,Chehalem Ian's Chard Rsv,16.33,750.0,34.99,28,457.24,24.49,24.49,1.0,0.11,55551.819999999985,-432.75,-1767.0477746018782,0.03571428571428571,0.05356049339515353,16.330000000000002,"(16.0, 31.0]",Small,Small
3252,E & J GALLO WINERY         ,22043,Five Oaks Wh Moscato,2.54,750.0,3.79,180,457.20000000000005,136.44,7.58,36.0,4.050000000000001,61966.909999999996,-320.76000000000005,-235.09234828496045,0.2,0.29842519685039365,2.54,"(144.0, 222.1]",Small,Small
